iter	Passed	Remaining
1265	12634	32274
1266	12644	32263
1267	12653	32252
1268	12663	32242
1269	12673	32232
1270	12683	32221
1271	12693	32212
1272	12703	32203
1273	12713	32192
1274	12723	32182
1275	12732	32171
1276	12742	32161
1277	12753	32153
1278	12764	32145
1279	12774	32136
1280	12785	32127
1281	12794	32115
1282	12803	32104
1283	12814	32095
1284	12823	32084
1285	12833	32074
1286	12843	32064
1287	12854	32056
1288	12864	32046
1289	12874	32035
1290	12883	32024
1291	12894	32015
1292	12904	32006
1293	12914	31995
1294	12924	31986
1295	12934	31977
1296	12944	31968
1297	12954	31956
1298	12965	31948
1299	12974	31938
1300	12985	31929
1301	12995	31919
1302	13005	31909
1303	13014	31898
1304	13025	31889
1305	13035	31880
1306	13045	31870
1307	13055	31861
1308	13065	31851
1309	13075	31840
1310	13085	31829
1311	13096	31821
1312	13105	31810
1313	13114	31798
1314	13123	31786
1315	13133	31776
1316	13144	31767
1317	13154	31757
1318	13164	31748
1319	13174	31738
1320	13183	31727
1321	13193	31715
1322	13203	31705
1323	13212	31694
1324	13222	31685
1325	13232	31674
1326	13242	31664
1327	13252	31653
1328	13262	31645
1329	13273	31636
1330	13283	31627
1331	13293	31616
1332	13303	31607
1333	13313	31596
1334	13323	31586
1335	13333	31577
1336	13343	31567
1337	13354	31558
1338	13364	31549
1339	13373	31537
1340	13383	31527
1341	13392	31515
1342	13403	31506
1343	13413	31497
1344	13423	31488
1345	13433	31478
1346	13444	31469
1347	13453	31458
1348	13463	31448
1349	13473	31437
1350	13482	31425
1351	13491	31414
1352	13501	31404
1353	13511	31393
1354	13521	31384
1355	13531	31374
1356	13541	31364
1357	13551	31353
1358	13561	31343
1359	13570	31331
1360	13580	31322
1361	13590	31313
1362	13601	31305
1363	13612	31296
1364	13621	31284
1365	13630	31272
1366	13640	31262
1367	13650	31253
1368	13660	31241
1369	13669	31230
1370	13680	31222
1371	13690	31211
1372	13700	31202
1373	13710	31191
1374	13720	31182
1375	13729	31171
1376	13740	31163
1377	13750	31152
1378	13759	31141
1379	13769	31131
1380	13779	31122
1381	13789	31110
1382	13799	31100
1383	13809	31091
1384	13820	31082
1385	13830	31073
1386	13840	31063
1387	13850	31053
1388	13859	31042
1389	13869	31032
1390	13879	31021
1391	13889	31011
1392	13899	31001
1393	13909	30992
1394	13918	30980
1395	13928	30970
1396	13939	30961
1397	13949	30952
1398	13959	30941
1399	13968	30931
1400	13978	30920
1401	13988	30910
1402	13998	30900
1403	14008	30891
1404	14019	30881
1405	14029	30872
1406	14038	30861
1407	14048	30850
1408	14058	30840
1409	14068	30831
1410	14079	30822
1411	14089	30812
1412	14099	30802
1413	14109	30794
1414	14119	30783
1415	14129	30774
1416	14139	30762
1417	14149	30753
1418	14160	30745
1419	14170	30735
1420	14179	30724
1421	14189	30713
1422	14199	30704
1423	14210	30696
1424	14219	30684
1425	14229	30673
1426	14239	30664
1427	14250	30655
1428	14260	30646
1429	14270	30636
1430	14280	30627
1431	14291	30619
1432	14302	30610
1433	14312	30601
1434	14323	30594
1435	14333	30583
1436	14343	30574
1437	14353	30564
1438	14363	30553
1439	14372	30541
1440	14382	30531
1441	14392	30522
1442	14402	30511
1443	14412	30502
1444	14423	30494
1445	14433	30484
1446	14443	30474
1447	14452	30462
1448	14463	30453
1449	14473	30445
1450	14483	30434
1451	14493	30424
1452	14503	30414
1453	14513	30405
1454	14524	30397
1455	14534	30387
1456	14545	30378
1457	14554	30367
1458	14564	30357
1459	14574	30347
1460	14584	30337
1461	14594	30327
1462	14605	30318
1463	14615	30309
1464	14626	30301
1465	14636	30291
1466	14646	30281
1467	14656	30272
1468	14667	30263
1469	14676	30252
1470	14686	30241
1471	14697	30233
1472	14708	30225
1473	14718	30215
1474	14728	30205
1475	14738	30195
1476	14747	30183
1477	14757	30174
1478	14767	30163
1479	14776	30152
1480	14787	30143
1481	14797	30133
1482	14807	30123
1483	14817	30114
1484	14827	30104
1485	14837	30094
1486	14848	30086
1487	14858	30076
1488	14868	30065
1489	14878	30056
1490	14887	30044
1491	14897	30034
1492	14907	30024
1493	14918	30015
1494	14927	30005
1495	14937	29995
1496	14947	29985
1497	14958	29976
1498	14968	29967
1499	14978	29956
1500	14988	29946
1501	14998	29937
1502	15008	29927
1503	15018	29916
1504	15027	29905
1505	15037	29895
1506	15047	29886
1507	15057	29874
1508	15077	29885
1509	15089	29878
1510	15100	29870
1511	15110	29860
1512	15119	29849
1513	15129	29839
1514	15139	29829
1515	15148	29817
1516	15158	29806
1517	15168	29797
1518	15179	29788
1519	15188	29777
1520	15198	29767
1521	15208	29758
1522	15218	29747
1523	15228	29738
1524	15238	29727
1525	15247	29716
1526	15258	29706
1527	15268	29697
1528	15278	29688
1529	15288	29678
1530	15299	29669
1531	15309	29660
1532	15319	29650
1533	15329	29640
1534	15340	29631
1535	15349	29619
1536	15360	29610
1537	15369	29600
1538	15379	29589
1539	15390	29581
1540	15400	29571
1541	15410	29561
1542	15419	29550
1543	15430	29541
1544	15440	29531
1545	15450	29521
1546	15459	29509
1547	15468	29498
1548	15478	29488
1549	15488	29478
1550	15498	29468
1551	15509	29460
1552	15519	29450
1553	15528	29439
1554	15538	29428
1555	15548	29417
1556	15558	29407
1557	15568	29397
1558	15578	29388
1559	15588	29377
1560	15598	29367
1561	15608	29358
1562	15618	29347
1563	15628	29338
1564	15638	29328
1565	15648	29318
1566	15657	29306
1567	15667	29296
1568	15677	29285
1569	15686	29275
1570	15696	29264
1571	15706	29255
1572	15716	29244
1573	15727	29236
1574	15736	29225
1575	15747	29215
1576	15757	29207
1577	15767	29197
1578	15778	29188
1579	15788	29179
1580	15797	29167
1581	15807	29156
1582	15817	29147
1583	15828	29138
1584	15837	29127
1585	15847	29117
1586	15857	29107
1587	15867	29096
1588	15877	29086
1589	15886	29075
1590	15897	29066
1591	15906	29055
1592	15915	29044
1593	15925	29033
1594	15935	29024
1595	15945	29014
1596	15956	29004
1597	15966	28995
1598	15976	28985
1599	15986	28975
1600	15996	28965
1601	16005	28953
1602	16015	28943
1603	16025	28933
1604	16035	28924
1605	16045	28914
1606	16056	28905
1607	16066	28896
1608	16076	28885
1609	16086	28875
1610	16096	28866
1611	16106	28856
1612	16116	28845
1613	16126	28835
1614	16135	28824
1615	16145	28814
1616	16155	28804
1617	16165	28794
1618	16176	28785
1619	16186	28775
1620	16197	28767
1621	16207	28757
1622	16217	28747
1623	16227	28737
1624	16237	28728
1625	16248	28719
1626	16258	28710
1627	16269	28700
1628	16279	28690
1629	16289	28681
1630	16299	28670
1631	16309	28660
1632	16319	28650
1633	16328	28640
1634	16340	28632
1635	16350	28622
1636	16360	28612
1637	16370	28603
1638	16381	28594
1639	16390	28583
1640	16400	28573
1641	16410	28563
1642	16420	28554
1643	16431	28545
1644	16440	28534
1645	16451	28524
1646	16460	28513
1647	16470	28502
1648	16479	28491
1649	16489	28481
1650	16499	28472
1651	16510	28463
1652	16520	28453
1653	16530	28443
1654	16540	28434
1655	16551	28425
1656	16561	28414
1657	16571	28404
1658	16580	28394
1659	16591	28384
1660	16601	28375
1661	16611	28366
1662	16621	28356
1663	16631	28346
1664	16642	28336
1665	16652	28326
1666	16661	28315
1667	16671	28305
1668	16681	28295
1669	16691	28285
1670	16701	28276
1671	16711	28266
